case_id,build_commit,executed_at,mode,input_ref,steps_ref,expected,actual,status,evidence_ref,issue_id
A01,9ce3236,2026-09-10,real,空库真实空间,打开工作台真实空间;curl youtube-fetch(无Key env),空列表+可配置任务背景+可导入+未配置Key明确提示,三项均符合;无Key返回 configured:false+「自动资料获取未启用」,passed,evidence/M1/m1-01-workbench-real-empty.png;无Key curl 实测(D6),
A02,9ce3236,,real,10个真实频道入口,导入→获取→人工名单,全部解析正确+原始字段对应+可完成名单,未执行:无真实 YouTube API Key,blocked,,需要用户配置 YOUTUBE_API_KEY
A03,9ce3236,2026-09-10,real/test,UC ID+@handle+URL混合,单测 normalizeChannelInput;E2E S12 重复行,同频道仅建一个候选+计数正确,本地归一化通过(URL→UC/@handle 规范);但 handle↔UC ID 指向同一频道的合并需官方接口确认(缺Key),partial,workbenchApi.test.ts;evidence/M2/m2-01,A03-cross-merge需Key
A04,9ce3236,2026-09-10,real,2无效+4有效混合粘贴,E2E verify-m2 S12/S12b,无效行指出原因+有效行继续+重试不重复建档,新增2/无效2/重复2互斥计数;再导入已存在1/新增1;均符合,passed,evidence/M2/m2-01-import-preview.png;evidence/M2/m2-02-imported.png,
A05,9ce3236,2026-09-10,real,再导入已有评估与任务的频道,E2E S12b,判断和联系历史保留+来源追加需确认,判断/任务/历史保留通过;来源追加确认未实现(无source_note列),partial,evidence/M2/m2-02-imported.png,source_note列M3
A06,9ce3236,2026-09-10,unit,缺Key/配额/超时错误,mapper单测 explainYouTubeError;无Key分支curl实测,原因可区分+不无限重试+无假数据+可继续人工编辑,Key无效/配额/权限/404/5xx分类文案单测通过;缺Key实测返回未启用提示;配额与网络超时的端到端受控注入未做,partial,supabase/functions/youtube-fetch/mapper.test.ts,A06-quota-inject
A07,9ce3236,2026-09-10,test,统计缺失+0观看+少于10视频,TESTKEY夹具+demo:04种子;E2E S13,未知与0分开+显示实际数量+不补值,0值显示0/缺失显示未知/频道3条视频显示3;均符合,passed,evidence/M2/m2-03-fetch-test.png,
A08,9ce3236,2026-09-10,demo,优先联系缺证据/缺任务,RPC冒烟:demo:07缺evidence提交,保存提示具体缺项+可先存草稿,RPC拒绝:priority_contact requires reason evidence scene_fit=yes;草稿功能E2E S5通过,passed,DB冒烟记录(STATUS 2026-09-10);evidence/M1/t14-05-draft-restored.png,
A09,9ce3236,2026-09-10,demo,demo:01受众未知但有场景证据+询问任务,E2E S3,可优先联系+未知显著保留+不宣称美国受众,保存成功;受众检查项保持未知展示;校验规则不要求audience_evidence,passed,evidence/M1/t14-03-priority-saved.png,
A10,9ce3236,2026-09-10,demo,无正向证据保存待补资料,E2E+RPC冒烟T8,问题与任务完整即可保存,通过:仅要求open_questions+任务,passed,evidence/M1/t14-03;DB冒烟,
A11,9ce3236,2026-09-10,demo/test,更改任务背景+刷新资料,brief分支:E2E S6 demo:10;资料分支:benchmark实测(获取→保存→再获取→待复核),历史判断保留+待复核+默认导出排除+确认后恢复,brief_version分支全通过;data_version分支:benchmark脚本实测通过(刷新后待复核徽章出现),passed,evidence/M1/t14-06-confirm-review.png;evidence/benchmark/,
A12,9ce3236,2026-09-10,demo,5次发信/最近<168h,单测(恰好168h不触发/4次不触发/撤销排除/补录重算)+E2E S8,正确提醒+草稿导出不计数,单测边界全过;demo:07间隔/demo:08次数提醒徽章+横幅+开关均通过,passed,workbenchApi.test.ts;evidence/M1/t14-08-reminder-banner.png,
A13,8390eb9,2026-09-11,demo,撤销误记/补录更早事件,单测contactReminders重算+E2E verify-m3 S1-S3(记录/撤销回到无记录/未来时间拒绝/过去补录),撤销后按有效事件重算+历史排序正确,记录与撤销UI完成;未来时间服务端拒绝;补录过去时间成功,passed,evidence/M3/m3-01-record-void.png;m3-02-future-rejected.png,
A14,8390eb9,2026-09-11,demo,暂缓/停止联系,RPC冒烟(暂缓取消)+E2E verify-m3 S4-S6(设置DNC取消联系任务/历史保留/解除需原因/DNC期间可补录)+isActionable单测,取消对应任务+停止联系排除默认可行动名单,设置/解除UI完成且联动任务取消;DNC期间补录历史事实通过;列表行徽章显示,passed,evidence/M3/m3-03-dnc-set.png;m3-04-dnc-unset.png;m3-05-dnc-backfill.png,
A15,9ce3236,2026-09-10,demo,完成今天任务+重启服务,E2E S7;T15 stop/start回归,状态持久化+待办只显示open+分组正确,完成任务后待办移除;stop/start数据指纹一致;18/18+8/8复跑通过,passed,evidence/M1/t14-07-task-completed-todo.png;STATUS T15记录,
