channel_input,channel_id,channel_url,channel_name,source_note,decision,reason,evidence_refs,open_questions,next_action,next_action_date,last_contact_at,contact_count,do_not_contact,reviewed_at,review_stale,data_mode
https://www.youtube.com/@berlinbuilds,UC_demo_berlinbuilds_01,,M0-Alpha T01,,优先联系,,,,follow-up,2026-09-09,,0,FALSE,,FALSE,real
,,,M0-Beta T01,,未评估,,,,,,,0,FALSE,,FALSE,real
,,,M0-Gamma T01,,未评估,,,,,,,0,FALSE,,FALSE,real
UC1789048644601a77777777,UC1789048644601a77777777,https://www.youtube.com/channel/UC1789048644601a77777777,【测试】频道 UC1789048644601a77777777,,未评估,,,,,,,0,FALSE,,FALSE,real
'@p1789048644601,'@p1789048644601,,'@p1789048644601,,未评估,,,,,,,0,FALSE,,FALSE,real
UC1789048644601b77777777,UC1789048644601b77777777,https://www.youtube.com/channel/UC1789048644601b77777777,UC1789048644601b77777777,,未评估,,,,,,,0,FALSE,,FALSE,real
UC1789048738742a77777777,UC1789048738742a77777777,https://www.youtube.com/channel/UC1789048738742a77777777,【测试】频道 UC1789048738742a77777777,,未评估,,,,,,,0,FALSE,,FALSE,real
'@p1789048738742,'@p1789048738742,,'@p1789048738742,,未评估,,,,,,,0,FALSE,,FALSE,real
UC1789048738742b77777777,UC1789048738742b77777777,https://www.youtube.com/channel/UC1789048738742b77777777,UC1789048738742b77777777,,未评估,,,,,,,0,FALSE,,FALSE,real
UC1789048882705a77777777,UC1789048882705a77777777,https://www.youtube.com/channel/UC1789048882705a77777777,【测试】频道 UC1789048882705a77777777,,未评估,,,,,,,0,FALSE,,FALSE,real
'@p1789048882705,'@p1789048882705,,'@p1789048882705,,未评估,,,,,,,0,FALSE,,FALSE,real
UC1789048882705b77777777,UC1789048882705b77777777,https://www.youtube.com/channel/UC1789048882705b77777777,UC1789048882705b77777777,,未评估,,,,,,,0,FALSE,,FALSE,real
UC1789048944125a77777777,UC1789048944125a77777777,https://www.youtube.com/channel/UC1789048944125a77777777,【测试】频道 UC1789048944125a77777777,,未评估,,,,,,,0,FALSE,,FALSE,real
'@p1789048944125,'@p1789048944125,,'@p1789048944125,,未评估,,,,,,,0,FALSE,,FALSE,real
UC1789048944125b77777777,UC1789048944125b77777777,https://www.youtube.com/channel/UC1789048944125b77777777,UC1789048944125b77777777,,未评估,,,,,,,0,FALSE,,FALSE,real
UC1789049214809a77777777,UC1789049214809a77777777,https://www.youtube.com/channel/UC1789049214809a77777777,【测试】频道 UC1789049214809a77777777,,未评估,,,,,,,0,FALSE,,FALSE,real
'@p1789049214809,'@p1789049214809,,'@p1789049214809,,未评估,,,,,,,0,FALSE,,FALSE,real
UC1789049214809b77777777,UC1789049214809b77777777,https://www.youtube.com/channel/UC1789049214809b77777777,UC1789049214809b77777777,,未评估,,,,,,,0,FALSE,,FALSE,real
